Name,AtomicNumber,ElementName,Color,VDWRadius,Mass,BondLengthSingle,BondLengthDouble,BondLengthTriple
H,1,Hydrogen,FFFFFF,120,1.01,32,0,0
He,2,Helium,D9FFFF,140,4,46,0,0
Li,3,Lithium,CC80FF,182,6.94,133,124,0
Be,4,Beryllium,C2FF00,0,9.01,102,90,85
B,5,Boron,FFB5B5,0,10.81,85,78,73
C,6,Carbon,909090,170,12.01,75,67,60
N,7,Nitrogen,3050F8,155,14.01,71,60,54
O,8,Oxygen,FF0D0D,152,16,63,57,53
F,9,Fluorine,9.00E+51,147,19,64,59,53
Ne,10,Neon,B3E3F5,154,20.18,67,96,0
Na,11,Sodium,AB5CF2,227,22.99,155,160,0
Mg,12,Magnesium,8AFF00,173,24.31,139,132,127
Al,13,Aluminum,BFA6A6,0,26.98,126,113,111
Si,14,Silicon,F0C8A0,210,28.09,116,107,102
P,15,Phosphorus,FF8000,180,30.97,111,102,94
S,16,Sulfur,FFFF30,180,32.07,103,94,95
Cl,17,Chlorine,1FF01F,175,35.45,99,95,93
Ar,18,Argon,80D1E3,188,39.95,96,107,96
K,19,Potassium,8F40D4,275,39.1,196,193,0
Ca,20,Calcium,3DFF00,0,40.08,171,147,133
Sc,21,Scandium,E6E6E6,0,44.96,148,116,114
Ti,22,Titanium,BFC2C7,0,47.88,136,117,108
v,23,Vanadium,A6A6AB,0,50.94,134,112,106
Cr,24,Chromium,8A99C7,0,52,122,111,103
Mn,25,Manganase,9C7AC7,0,54.94,119,105,103
Fe,26,Iron,E06633,0,55.85,116,109,102
Co,27,Cobalt,F090A0,0,58.93,111,103,96
Ni,28,Nickel,50D050,163,58.69,110,101,101
Cu,29,Copper,C88033,140,63.55,112,115,120
Zn,30,Zinc,7D80B0,139,65.39,118,120,0
Ga,31,Gallium,C28F8F,187,69.72,124,117,121
Ge,32,Germanium,668F8F,0,72.59,121,111,114
As,33,Arsenic,BD80E3,185,74.92,121,114,106
Se,34,Selenium,FFA100,190,78.96,116,107,107
Br,35,Bromine,A62929,185,79.9,114,109,110
Kr,36,Krypton,5CB8D1,202,83.8,117,121,108
Rb,37,Rubidium,702EB0,0,85.47,210,202,0
Sr,38,Strontium,00FF00,0,87.62,185,157,139
Y,39,Yttrium,94FFFF,0,88.91,163,130,124
Zr,40,Zirconium,94E0E0,0,91.22,154,127,121
Nb,41,Niobium,73C2C9,0,92.91,147,125,116
Mo,42,Molybdenum,54B5B5,0,95.94,138,121,113
Tc,43,Technetium,3B9E9E,0,98,128,120,110
Ru,44,Ruthenium,248F8F,0,101.1,125,114,103
Rh,45,Rhodium,0A7D8C,0,102.9,125,110,106
Pd,46,Palladium,6985,163,106.4,120,117,112
Ag,47,Silver,C0C0C0,172,107.9,128,139,137
Cd,48,Cadmium,FFD98F,158,112.4,136,144,0
In,49,Indium,A67573,193,114.8,142,136,146
Sn,50,Tin,668080,217,118.7,140,130,132
Sb,51,Antimony,9E63B5,0,121.8,140,133,127
Te,52,Tellurium,D47A00,206,127.6,136,128,121
I,53,Iodine,940094,198,126.9,133,129,125
Xe,54,Xenon,429EB0,216,131.3,131,135,122
Cs,55,Cesium,57178F,0,132.9,232,209,0
Ba,56,Barium,00C900,0,137.3,196,161,149
La,57,Lanthanum,70D4FF,0,138.9,180,139,139
Ce,58,Cerium,FFFFC7,0,140.1,163,137,131
Pr,59,Praseodymium,D9FFC7,0,140.9,176,138,128
Nd,60,Neodymium,C7FFC7,0,144.2,174,137,0
Pm,61,Promethium,A3FFC7,0,147,173,135,0
Sm,62,Samarium,8FFFC7,0,150.4,172,134,0
Eu,63,Europium,61FFC7,0,152,168,134,0
Gd,64,Gadolinium,45FFC7,0,157.3,169,135,132
Tb,65,Terbium,30FFC7,0,158.9,168,135,0
Dy,66,Dysprosium,1FFFC7,0,162.5,167,133,0
Ho,67,Holmium,00FF9C,0,164.9,166,133,0
Er,68,Erbium,00E675,0,167.3,165,133,0
Tm,69,Thulium,00D452,0,168.9,164,131,0
Yb,70,Ytterbium,00BF38,0,173,170,129,0
Lu,71,Lutetium,00AB24,0,175,162,131,131
Hf,72,Hafnium,4DC2FF,0,178.5,152,128,122
Ta,73,Tantalum,4DA6FF,0,180.9,146,126,119
W,74,Tungsten,2194D6,0,183.9,137,120,115
Re,75,Rhenium,267DAB,0,186.2,131,119,110
Os,76,Osmium,266696,0,190.2,129,116,109
Ir,77,Iridium,175487,0,192.2,122,115,107
Pt,78,Platinum,D0D0E0,175,195.1,123,112,110
Au,79,Gold,FFD123,166,197,124,121,123
Hg,80,Mercury,B8B8D0,155,200.6,133,142,0
Tl,81,Thallium,A6544D,196,204.4,144,142,150
Pb,82,Lead,575961,202,207.2,144,135,137
Bi,83,Bismuth,9E4FB5,0,209,151,141,135
Po,84,Polonium,AB5C00,0,210,145,135,129
At,85,Astatine,754F45,0,210,147,138,138
Rn,86,Radon,428296,0,222,142,145,133
Fr,87,Francium,420066,0,223,223,218,0
Ra,88,Radium,007D00,0,226,201,173,159
Ac,89,Actinium,70ABFA,0,227,186,153,140
Th,90,Thorium,00BAFF,0,232,175,143,136
Pa,91,Protactinium,00A1FF,0,231,169,138,129
U,92,Uranium,008FFF,186,238,170,134,118
Np,93,Neptunium,0080FF,0,237,171,136,116
Pu,94,Plutonium,006BFF,0,242,172,135,0
Am,95,Americium,545CF2,0,243,166,135,0
Cm,96,Curium,785CE3,0,247,166,136,0
Bk,97,Berkelium,8A4FE3,0,247,168,139,0
Cf,98,Californium,A136D4,0,249,168,140,0
Es,99,Einsteinium,B31FD4,0,254,165,140,0
Fm,100,Fermium,B31FBA,0,254,167,0,0
Md,101,Mendelevium,B30DA6,0,256,173,139,0
No,102,Nobelium,BD0D87,0,254,176,159,0
Lr,103,Lawrencium,C70066,0,257,161,141,0
Rf,104,Rutherfordium,CC0059,0,257,157,140,131
Db,105,Dubnium,D1004F,0,260,149,136,126
Sg,106,Seaborgium,D90045,0,263,143,128,121
Bh,107,Bohrium,E00038,0,262,141,128,119
Hs,108,Hassium,E6002E,0,265,134,125,118
Mt,109,Meitnerium,EB0026,0,266,129,125,113
Ds,110,Darmstadium,,0,,128,116,112
Rg,111,Roentgenium,,0,,121,116,118
Cn,112,Copernicium,,0,,122,137,130
Nh,113,Nihonium,,0,,136,0,0
Fl,114,Flerovium,,0,,143,0,0
Mc,115,Moscovium,,0,,162,0,0
Lv,116,Livermorium,,0,,175,0,0
Ts,117,Tennessine,,0,,165,0,0
Og,118,Oganesson,,0,,157,0,0
